HIP,RAICRS,DEICRS,Plx,e_Plx,Vmag,B-V,SpType,pmRA,pmDE
235,0.73646864,71.36804423,2.60,1.31,9.17,1.222,K0,-1.98,-5.69
236,0.73781657,-0.89382979,2.96,1.08,8.09,1.260,K0,19.44,-18.16
237,0.73911220,-39.52732256,6.32,1.32,9.00,0.903,G8IV,60.22,-37.00
238,0.73927410,-20.04607402,16.16,0.96,6.25,0.526,F6/F7V,100.38,78.95
239,0.74317400,3.38193739,4.77,1.27,8.56,0.521,F5,5.04,-2.17
240,0.74376859,9.79522025,3.36,2.03,10.81,0.565,F8,-15.69,4.40
241,0.75196696,9.13829706,2.37,1.28,8.76,1.010,K0,21.34,-7.21
242,0.75216595,-34.74405055,7.41,0.93,7.76,0.967,G8IV,21.85,45.70
243,0.75337695,-60.69189462,4.11,0.80,7.82,1.041,K0III,-5.55,-2.53
244,0.75886478,39.99515242,3.49,0.74,7.90,0.668,F8,1.82,-3.26
245,0.76358207,-7.81552594,3.31,1.13,8.52,1.036,G5,62.16,3.67
246,0.76368704,56.73318400,18.29,1.56,9.73,0.990,K3,177.58,46.91
247,0.76552823,8.26141340,6.08,1.68,9.19,0.346,F0,-37.80,-49.68
248,0.76575139,8.27080462,9.03,1.17,8.10,0.342,F0,-35.94,-49.91
249,0.77419621,31.87010321,13.24,1.03,8.75,0.552,F8,9.90,-8.32
250,0.77431725,52.46516859,5.19,1.99,8.14,0.880,K0,-8.04,-16.48
251,0.77540550,-25.26104885,-0.53,1.21,8.65,1.349,K2III,-27.86,-26.85
252,0.77959051,29.48598254,-0.95,2.86,10.30,1.082,K0...,16.56,-1.50
253,0.78257245,-24.14513788,6.78,0.88,6.46,1.176,K1III,59.32,-3.14
254,0.78466955,42.74791705,5.96,0.76,6.73,0.051,A2,32.79,-3.84
255,0.79452371,-24.58828778,11.84,1.16,7.96,0.421,F2/F3V,52.44,12.15
256,0.79659523,54.51584355,4.73,1.44,9.53,0.461,F0,1.26,-28.47
257,0.80301496,-31.21239379,3.15,1.18,8.87,0.081,A0V,18.69,4.06
258,0.80532807,17.55239698,6.28,0.78,6.59,1.122,K0,58.45,-52.87
259,0.80590410,48.72233890,0.54,1.23,8.65,1.455,M0,0.05,-18.44
260,0.81709566,-55.40508846,6.10,1.44,9.64,0.432,F2V,31.28,7.35
261,0.82050122,-23.61534569,8.21,2.41,9.15,0.424,F3V,12.67,-36.54
262,0.82579542,32.84586959,4.31,1.25,9.04,0.422,F0V,52.20,-2.29
263,0.82923787,4.68713578,32.93,3.49,12.04,1.473,M1,-24.45,-85.41
264,0.83207925,38.24401553,3.69,0.90,8.42,1.174,K0,-0.80,-1.41
266,0.83535989,-11.94520986,3.38,1.13,8.09,1.125,K1IIICN...,-11.03,-64.74
265,0.83539281,-64.47608070,1.06,0.94,9.06,1.688,K5III:,-2.22,-5.83
267,0.83541112,-4.14573041,11.66,1.42,8.09,0.455,F2,-22.91,-10.99
268,0.84180567,59.07861165,0.24,1.01,8.18,1.462,K5,-3.63,-2.69
269,0.84205196,23.57504990,3.82,1.02,8.77,1.125,G5,-10.23,-6.37
270,0.85005688,73.17449052,4.70,0.63,7.36,0.146,A2,-22.46,2.59
271,0.85277163,-35.96517367,4.81,1.11,9.16,0.232,A2III,21.93,3.86
272,0.85551618,-26.41518293,1.39,1.31,8.82,0.979,G8/K0III,13.15,-0.95
273,0.85687021,-46.83096933,1.86,2.09,11.14,0.041,A0V,-2.20,-1.32
274,0.85715406,63.64052431,0.93,0.57,6.24,0.332,B3Ia,-3.27,-1.83
275,0.85767485,-29.00061360,5.68,4.61,9.44,0.439,F3V,-24.45,-20.17
276,0.85791177,20.66591788,15.55,0.95,7.49,0.636,G0,57.24,-159.75
277,0.85927886,-36.25120504,15.84,0.81,6.96,0.353,F2V,72.54,5.06
278,0.86311931,55.55090206,2.79,0.95,7.94,-0.023,B2IVne+...,-0.95,-0.68
279,0.86377495,62.35780416,0.81,0.87,8.69,0.120,B8V,-1.44,0.85
280,0.86626632,53.31270092,4.83,0.97,8.15,0.134,A2,-15.35,-4.99
281,0.87618718,55.05995058,2.88,1.10,8.45,1.655,M0,3.72,4.16
282,0.87642718,19.38157170,1.62,0.97,7.92,1.408,K0,0.04,-31.13
283,0.87715545,12.35682896,4.99,0.99,7.45,0.353,A5,-15.05,-3.46
284,0.87833784,-65.82756660,2.11,1.04,9.01,0.956,G8III,22.94,25.33
285,0.88067333,-35.60222342,1.38,1.06,8.55,1.212,K1IV/VCN...,56.12,-2.58
286,0.88130145,78.71780714,0.11,0.93,9.23,1.006,K0,16.55,7.75
287,0.88580553,-13.22726530,1.19,1.40,9.16,1.538,K5,19.34,-11.02
